,STATEFIP,Eating & Drinking
0,1,51.81957186544342
1,2,28.928571428571427
2,4,68.16190476190476
3,5,43.01724137931034
4,6,64.47241867043847
5,8,58.64588528678304
6,9,66.33802816901408
7,10,50.989010989010985
8,12,64.04932182490752
9,13,75.13294797687861
10,15,15.0
11,16,89.41780821917808
12,17,72.50140845070422
13,18,51.83375634517766
14,19,77.04968944099379
15,20,55.112612612612615
16,21,57.959847036328874
17,22,66.96052631578948
18,23,97.1484375
19,24,43.524193548387096
20,25,75.54437869822485
21,26,67.62820512820512
22,27,68.94957983193277
23,28,58.484848484848484
24,29,71.73809523809524
25,30,56.181102362204726
26,31,65.20464135021098
27,32,50.42372881355932
28,33,50.51587301587302
29,34,82.20873786407768
30,35,101.03448275862068
31,36,64.18241758241759
32,37,72.10469314079423
33,38,66.96551724137932
34,39,74.32650273224044
35,40,55.48867313915858
36,41,77.13347022587268
37,42,66.80031821797931
38,44,53.1764705882353
39,45,63.053521126760565
40,46,66.42857142857143
41,47,67.38738738738739
42,48,67.38047808764941
43,49,79.37106918238993
44,50,34.505494505494504
45,51,66.12903225806451
46,53,75.38919925512104
47,54,80.95238095238095
48,55,69.2039072039072
49,56,61.41891891891892
